Policy_Id,Policy_Year,Make,Body_Style,Model_Year,Model_Color,Miles_Driven,Driver_Hair_Color,Years_Customer,Accident_Reported
1,2007,Honda,truck,2004,Red,22813,Brown,19,0
2,2004,Honda,sedan,2009,Blue,16844,Brown,16,0
3,2013,Toyota,suv,2021,White,18295,Brown,20,0
4,2010,Toyota,suv,2002,White,19030,Brown,13,0
5,2014,Subaru,sedan,2017,Red,9333,Black,3,0
6,2004,Subaru,suv,2011,White,16871,Black,11,0
7,2022,Toyota,sedan,2017,Red,9445,Black,6,0
8,2022,Honda,truck,2020,Blue,15866,Brown,11,0
9,2001,Honda,sedan,2001,White,20733,Brown,4,0
10,2009,Toyota,sedan,2014,Blue,11854,Brown,2,0
11,2014,Honda,suv,2005,White,15281,Brown,12,0
12,2004,Subaru,truck,2023,Blue,19966,Black,12,1
13,2006,Honda,suv,2019,Red,16076,Black,10,0
14,2017,Toyota,sedan,2013,Red,13924,Black,20,0
15,2006,Honda,suv,2001,Blue,6099,Black,5,0
16,2004,Subaru,sedan,2023,Red,5755,Brown,11,0
17,2010,Subaru,sedan,2005,White,8735,Black,12,0
18,2016,Toyota,truck,2001,Blue,1308,Black,20,1
19,2020,Subaru,sedan,2017,Red,17227,Black,15,0
20,2017,Honda,sedan,2020,Blue,1627,Brown,15,0
21,2016,Honda,truck,2005,Blue,20391,Brown,1,0
22,2020,Subaru,sedan,2011,White,2846,Black,14,0
23,2016,Honda,truck,2012,White,8958,Black,9,1
24,2003,Honda,sedan,2011,Blue,11894,Black,14,1
25,2008,Honda,sedan,2007,Blue,20782,Black,20,0
26,2023,Subaru,suv,2016,Red,8558,Brown,7,0
27,2003,Subaru,sedan,2006,White,11591,Brown,13,0
28,2020,Honda,sedan,2010,Red,5344,Black,20,0
29,2018,Toyota,suv,2010,White,6642,Brown,3,0
30,2021,Subaru,sedan,2016,Red,9648,Black,5,0
31,2001,Toyota,truck,2015,White,1110,Brown,4,0
32,2007,Honda,sedan,2011,Blue,11574,Brown,13,0
